Customer State,MSKU,Quantity
Andhra Pradesh,CSTE_0148_SG_ButterFly_RedGreen,1
Andhra Pradesh,CSTE_0478_ST_Minecraft_Cow_Brown,1
Andhra Pradesh,Mapping Not Found,1
Arunachal Pradesh,CSTE_0442_CLT_AF_Goku_Big,1
Assam,CSTE_0156_SG_FireGlass_Yellow,1
Bihar,CSTE_O0390_OT_Toiletry_Bottles,1
Chhattisgarh,CSTE_0294_OT_Harrypotter_new_wand,1
Delhi,CSTE_0162_SG_FireGlass_MercuryPink,1
Delhi,CSTE_O0390_OT_Toiletry_Bottles,1
Gujarat,CSTE_0148_SG_ButterFly_RedGreen,1
Gujarat,CSTE_O0390_OT_Toiletry_Bottles,1
Haryana,CSTE_O0390_OT_Toiletry_Bottles,1
Haryana,Mapping Not Found,4
Jharkhand,CSTE_0533_ST_Animal_Breathing_Koala_Grey,1
Jharkhand,Mapping Not Found,1
Karnataka,CSTE_0054_MB_Starwar_Black,1
Karnataka,CSTE_O0390_OT_Toiletry_Bottles,6
Karnataka,Mapping Not Found,1
Kerala,CSTE_0148_SG_ButterFly_RedGreen,1
Kerala,CSTE_0157_SG_FireGlass_Green,2
Madhya Pradesh,CSTE_0157_SG_FireGlass_Green,1
Madhya Pradesh,Minecraft_Small_Sword_Steve,1
Maharashtra,CSTE_0417_Organizer_StorageBox_SkyBlue,1
Maharashtra,CSTE_0463_ST_Pokemon_Gengar,1
Maharashtra,CSTE_0490_ST_Fruit_Blox_Shadow,1
Maharashtra,CSTE_O0390_OT_Toiletry_Bottles,3
Maharashtra,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,1
Maharashtra,Mapping Not Found,2
Meghalaya,Mapping Not Found,1
Punjab,CSTE_O0390_OT_Toiletry_Bottles,2
Rajasthan,CSTE_0454_ST_Animal_Garfield_Orange,1
Rajasthan,CSTE_O0390_OT_Toiletry_Bottles,1
Tamil Nadu,CSTE_0148_SG_ButterFly_RedGreen,1
Tamil Nadu,CSTE_0417_Organizer_StorageBox_SkyBlue,1
Tamil Nadu,CSTE_O0120_OT_DolphinBubbleMachine,1
Telangana,CSTE_0085_MB_Titanic_Brown,1
Telangana,CSTE_0157_SG_FireGlass_Green,1
Telangana,CSTE_O0390_OT_Toiletry_Bottles,6
Uttar Pradesh,CSTE_0205_MB_MHA10_Brown,1
Uttar Pradesh,CSTE_O0390_OT_Toiletry_Bottles,4
Uttar Pradesh,Mapping Not Found,2
West Bengal,CSTE_0148_SG_ButterFly_RedGreen,1
West Bengal,CSTE_0447_CLT_AF_Goku_SSJ,1
West Bengal,CSTE_O0390_OT_Toiletry_Bottles,1
West Bengal,Mapping Not Found,1
